experiment_id,cell_id,seed,game,channel,spec,pair,framing,n_rows,n_rounds,coop_mean,price_mean,price_last,refusal_rate,api_error_rate,msgs,rule_frac,full_rule_frac,trigger_frac,conseq_frac,target_frac,intention_frac,msg_len,any_rule,lockin,K,capacity,has_channel,free_text
A1,A1/L1_signal/novel/same_origin_cn,109,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,40,20,0.05,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.35,0.35,20.05,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,110,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.225,0.225,19.675,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,111,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,40,20,0.275,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.575,0.575,20.725,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,112,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.525,0.525,20.575,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,113,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.175,0.175,19.525,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,114,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,14,7,0.07142857142857142,,,0.0,0.0,14,0.0,0.0,0.0,0.0,0.6428571428571429,0.6428571428571429,20.928571428571427,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,115,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,14,7,0.07142857142857142,,,0.0,0.0,14,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,21.142857142857142,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,116,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.425,0.425,20.275,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,117,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,24,12,0.3333333333333333,,,0.0,0.0,24,0.0,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,21.75,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,118,ipd,L1_signal,novel,qwen-72b+deepseek-v3,neutral,40,20,0.025,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.225,0.225,19.675,0,0.0,,intention,1,0
A1,A1/L1_signal/novel/same_origin_cn,119,ipd,L1_signal,novel,deepseek-v3+qwen-72b,neutral,10,5,0.1,,,0.0,0.0,10,0.0,0.0,0.0,0.0,0.9,0.9,21.7,0,0.0,,intention,1,0
A1,A1/L2_observed/canonical/same_origin_cn,0,ipd,L2_observed,canonical,qwen-72b+deepseek-v3,neutral,16,8,0.625,,,0.0,0.0,16,0.0,0.0,0.0,0.0,1.0,1.0,56.0,0,0.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,1,ipd,L2_observed,canonical,deepseek-v3+qwen-72b,neutral,16,8,0.75,,,0.0,0.0,16,0.0,0.0,0.0,0.0,1.0,1.0,56.0,0,0.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,2,ipd,L2_observed,canonical,qwen-72b+deepseek-v3,neutral,16,8,0.625,,,0.0,0.0,16,0.0,0.0,0.0,0.0,1.0,1.0,56.0,0,0.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,100,ipd,L2_observed,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.3,,,0.0,0.0,40,0.0,0.0,0.175,0.325,0.875,0.875,147.575,0,0.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,101,ipd,L2_observed,canonical,deepseek-v3+qwen-72b,neutral,24,12,1.0,,,0.0,0.0,24,0.0,0.0,0.041666666666666664,0.0,1.0,1.0,140.29166666666666,0,1.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,102,ipd,L2_observed,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.75,,,0.0,0.0,40,0.0,0.0,0.025,0.05,0.95,0.95,167.2,0,0.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,103,ipd,L2_observed,canonical,deepseek-v3+qwen-72b,neutral,2,1,1.0,,,0.0,0.0,2,0.0,0.0,0.0,0.0,0.5,0.5,80.0,0,1.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,104,ipd,L2_observed,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.85,,,0.0,0.0,39,0.0,0.0,0.07692307692307693,0.02564102564102564,0.9487179487179487,0.9487179487179487,164.1,0,1.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,105,ipd,L2_observed,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.95,,,0.0,0.0,40,0.0,0.0,0.025,0.0,0.975,0.975,149.6,0,1.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,106,ipd,L2_observed,canonical,qwen-72b+deepseek-v3,neutral,20,10,1.0,,,0.0,0.0,20,0.0,0.0,0.05,0.0,0.95,0.95,147.7,0,1.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,107,ipd,L2_observed,canonical,deepseek-v3+qwen-72b,neutral,6,3,1.0,,,0.0,0.0,6,0.0,0.0,0.16666666666666666,0.0,1.0,1.0,109.83333333333333,0,1.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,108,ipd,L2_observed,canonical,qwen-72b+deepseek-v3,neutral,34,17,0.6764705882352942,,,0.0,0.0,34,0.0,0.0,0.11764705882352941,0.11764705882352941,0.9411764705882353,0.9411764705882353,179.23529411764707,0,0.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,109,ipd,L2_observed,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.575,,,0.0,0.0,40,0.0,0.0,0.1,0.2,0.9,0.9,148.775,0,0.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,110,ipd,L2_observed,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.05,,,0.0,0.0,40,0.05,0.05,0.475,0.675,0.975,0.925,144.45,1,0.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,111,ipd,L2_observed,canonical,deepseek-v3+qwen-72b,neutral,40,20,0.775,,,0.0,0.0,40,0.0,0.0,0.0,0.0,0.95,0.95,139.525,0,0.0,,rule,1,1
A1,A1/L2_observed/canonical/same_origin_cn,112,ipd,L2_observed,canonical,qwen-72b+deepseek-v3,neutral,40,20,0.95,,,0.0,0.0,40,0.0,0.0,0.0,0.0,1.0,1.0,131.375,0,1.0,,rule,1,1
